投稿日,タイトル,再生数
2021-11-28,【ガチ自腹】金無しの奴隷たちが身を売ってサービス提案したらエグい金額で落札でた・・・【資本主義のバグ】,137404
2021-11-27,【検証1年】冷凍と解凍を何回繰り返したら食材は食べられなくなるの？,1317488
2021-11-26,"【バカゲー】叩いてかぶってジャンケンポンの""新種""を開発したら普通に盛り上がった日",1193515
2021-11-26,【快快快挙】YouTube FanFest JAPANに出演します！アゲじゃん🤘#YTFF,567901
2021-11-25,【BIGWAVE】サーフィンで時代の波に乗る練習をしよう！！YouTubeで生きていくことは簡単ではない！！,1119870
2021-11-24,岡崎市で100万円使うまで終われない撮影してたらヤバいお宝が…！,1441039
2021-11-23,イヤホンつけて暴れたら遠隔操作ドッキリと勘違いして怒られない説,1769370
2021-11-22,【初ショート】メントスコーラ投げ入れ成功したかと思ったら…？ #Shorts,732425
2021-11-21,おじさんが考えた｢カップルのいちゃつき動画｣はどれだクイズ！,1620448
2021-11-20,【大儲け】スタジオに有料サービスを設置してメンバーから金を巻き上げよう！！！,2196100
2021-11-19,【目指せJK】これから流行る造語を考えろ！流行語プレゼン大会！,1333637
2021-11-18,【ぬるめ】街中で見つけたパッケージを再現しまくり対決！！！,1455475
2021-11-17,【なんでもアリ】何も書かれていないフィールド・手札で戦う新しいボードゲーム！？,1598400
2021-11-16,簡単操作の「現実ミニゲーム」を考案してワリオさんを楽しませろ！！！,1474926
2021-11-14,【時代の波】東海オンエアってShorts動画でおもろい動画作れるの？？？【Shorts】,1748867
2021-11-13,【画伯降臨】このイラスト、どんな早口言葉かわかりますか？,1343869
2021-11-12,結婚する友人に最高の｢余興ムービー｣を贈ります…,1735012
2021-11-11,【家具買う時の】手でこうやって長さ測る人のプロになりたい！！！,1790824
2021-11-10,【ファッキンオンエア】誰が1番きつい1万円企画持って来れんの!?,2224336
2021-11-09,【ボール】新体操未経験の男が、１日本気でレッスン受けたら何点取れるの！？,2183157
2021-10-31,テーマを絞って｢あるある｣を出しまくり、枯渇させよう！,3034009
2021-10-30,【名回答】Yahoo!知恵袋で「ベストアンサー」を貰いたいんや！！！,2275343
2021-10-29,"【声枯れた】地獄に最も近いのは誰だァ！デスメタル４本勝負ウ""ウウゥゥゥ！！！",1737781
2021-10-28,【陸上革命】10kmの長距離走より100mを100本走ったタイムの方が速いに決まってるだろ！！！,2737679
2021-10-27,チビが合気道を｢2時間だけ｣習ったらヤンキーに少しは抵抗できる？,1760720
2021-10-26,【バ化学研究所】バカな文系による科学実験！人類史上最も凄い発見をしました！！！,2054215
2021-10-24,【おかしい】昔の動画のこのシーンで登場したもの、なに〜！？,2006138
2021-10-23,【腹筋6LDK】一番筋肉があるっぽいのは誰だ！フェイクマッチョ選手権！,1843620
2021-10-22,【年に一回やるよ】悪いスコアをカウントする｢ワーストゴルフ｣を死ぬまでプレーして、ゴルフ成長記録を残していくよ。,2273551
2021-10-21,【東海五輪】バドミントン文理対決1000点先取1ゲームマッチ生配信,2462195
2021-10-20,【ECO】残り物料理の残り物料理を続けていったら最後に何が完成する？,2518577
2021-10-19,死ぬこと以外無傷男の無表情VTR！これ体張ってる？張ってない？クイズ！！,2349093
2021-10-17,YouTuberの発言を書き起こしてロボに読ませて誰でしょうクイズ！,1822744
2021-10-16,【ドッキリ】すぐ記憶を捏造する男に嘘の思い出を語らせろ！！！,1846863
2021-10-15,"【謝罪】""逆""マナー講座が開講してしまった！マナーを正しく破りましょう！",1852671
2021-10-14,【負けたらバズラナイトイヤー(?)】この中で一億回再生を超えているのはどれ！？Which is 100M saisei?【完全再現】,2035960
2021-10-13,【才能？適当？】天才作詞家・しばゆーの歌詞はどれ？,2463027
2021-10-12,【祝８周年】ついにあいつに彼女が！？たくさん活躍しすぎて振り返るのも大変だぜSP！！！,2826443
2021-10-10,【顔面地獄】24時間にらめっこを続けたら人はどうなる？【後編】,1086397
2021-10-09,【真剣勝負】24時間にらめっこを続けたら人はどうなる？【前編】,2249426
2021-10-08,【神業者再び】どんなクソ動画も最高の仕上がりに！オヤイズ写真館Ⅱ！！,1802869
2021-10-07,【本気】しばゆーvsガチシェフ、どっちが不味い料理作れるの！？,2591991
2021-10-06,｢てつやは器用｣という評価、本当なのか審査します,2430644
2021-10-05,【勝った方が勝ち】スマホのデータフォルダに入ってる写真だけでしりとりバトル,1899554
2021-10-03,【理不尽】インターホンに喋り邪魔されたら激重十字架バトル！！！,2792119
2021-10-02,【同級生】さまざまなジャンルの1993年生まれ達を見つけて救い出したいんだ！！！！,1937267
2021-10-01,【全４作品】自作ドッキリグッズで友達を驚かせよう！！！,2151303
2021-09-30,リサイタルズ-「Choiced 漢 Soul feat. 木村昴」［Official Music Video］,4133546
2021-09-29,【まじめ】３回ボケたらこの動画は即終了します,2535651
2021-09-28,【時給200円】「５日間内職生活」で誰もが予想しない結果に...!!!,3653837
2021-09-26,【男子必見】｢今おっぱい当たった！｣ってやつ本当に当たってるのか検証！,2637958
2021-09-25,【YouTube革命】企画を無視して全力で脱線したらどんな動画になる！？,2002342
