投稿日,タイトル,再生数
2021-12-02,バカ炙り出しクイズ 答え合わせ編,515652
2021-12-01,ご飯じゃんけんに敗者復活戦なんて制度を導入してはならぬ,343899
2021-11-30,けつ毛パスポートの本物が完成しました,582609
2021-11-28,寒いのでタバコやめます,490080
2021-11-27,お家の中で思いっきりバットを振り切りたい,382344
2021-11-25,アレルギー検査とやらをしてみました,612204
2021-11-24,【おまけ】すごすぎるお酒の説明を聞いて圧倒される東海オンエア,244019
2021-11-21,お昼ご飯一緒に食べようサブ ~北京ダッグ編~,682413
2021-11-19,【未公開集】不意打ちで合気道の先生をやっつけたいしばゆーの挑戦,357727
2021-11-17,ニトロ爆弾が朝ごはんに｢豪華韓国料理セット｣を用意してくれました,492430
2021-11-16,しばゆーはもう限界らしいので｢例のルーレット｣を回します,777813
2021-11-14,てつやとりょうからみなさまへ謝罪があります…,720042
2021-11-13,東海オンエアは神休み中何してたの？,619747
2021-11-11,てつやは年齢非公開、虫眼鏡は24歳になりました,473408
2021-11-10,コスプレしたまんまラーメン屋さんって行っていいんだっけ？,411439
2021-11-09,てつやの誕プレがとんでもない件,683476
2021-10-31,りょうの恋バナを1時間聴け,1120028
2021-10-30,動画を１週間お休みするご報告があります,916909
2021-10-29,としおくんから伝えたいことがあるみたい…！,581275
2021-10-28,ペヤング獄激辛麻婆味だと…？ちょうどいい辛さのペヤングだと…？,612513
2021-10-26,妻帯者・彼女持ちが健全にクラブに行く方法はないのか,538329
2021-10-25,ブランドの名前なんて読むか当てるクイズ！,637470
2021-10-23,ラーメンは2杯食べちゃダメ,834727
2021-10-22,【じゃんけん無し】絶対にまんぷく家を食べるためりょうを論破します,571325
2021-10-20,第1回 400m後ろ走り選手権,450883
2021-10-18,朝ごはんにカレーパンは重くね？ (個人的見解),498490
2021-10-17,バズラナイトイヤーです,783612
2021-10-15,からあげくん(新バディ)はワンピースが大好きです,264491
2021-10-14,【真面目くん】新バディ加入記念！バディ王！！,463275
2021-10-13,この場所をご紹介するのははじめてですね…！,680337
2021-10-11,面白いサブチャンなのに途中までしか記録できてなかった(怒),363808
2021-10-10,【未公開集】屁＝粉末状のうんちではないのか？,341900
2021-10-08,走りすぎだし賞状もらいすぎです,516884
2021-10-07,しばゆーは２ヶ月間バカデカしゃもじを持ち歩きます,742029
2021-10-06,【作業中トーク】暇なので後輩を説教してみる,393005
2021-10-04,握力を測ってください,428740
2021-10-03,コロナワクチン副反応グランプリ,711038
2021-10-01,【メイキング】リサイタルズ「Choiced 漢 Soul」,465298
2021-09-30,ニトロ爆弾から600万人のお祝いがあるそうです,676386
2021-09-29,一応最後までソーセージ作ろう,873260
2021-09-27,超満腹のときにまんぷく家じゃんけんをしたら怖い？,787224
2021-09-26,ピザは頼むの難しい,994269
2021-09-24,てつやが昼ごはん食べてないので作ってあげます,883011
2021-09-22,【東海オンエア不在】お宝鑑定未公開シーン,405354
2021-09-21,しばゆーの携帯がないらしい,1008864
2021-09-20,【ペッパーランチ】ついにバズりました東海オンエア,1594061
2021-09-18,東海オンエア、バズる方法をついに発見しました,689230
2021-09-16,【富士急】ジェットコースターより怖いアトラクションあるやん,1245779
2021-09-15,結局催眠術にかかっちゃうのは誰なの？,738205
2021-09-13,やはりコロナにはならないほうがいい,737530
2021-09-12,メンバーが死んだらめちゃめちゃ面白くイジってほしい,756668
2021-09-10,なぜかスタジオに｢ペヤング獄激辛にんにく｣が届いてしまいました,982667
2021-09-09,【話聞いて】プチ技できた人から帰れます,496230
2021-09-07,【性善説】住所がバレて困ることって実はないのでは,728641
2021-09-06,しばゆーととしみつからプチ報告があります,1479660
2021-09-05,てつやからプチ報告があります,752655
2021-09-03,チャンネル登録者600万人のプレゼントがヤバすぎ,521420
2021-09-02,もはや貴重品のポケカBOXをしば虫で開封していく…！,514907
2021-09-01,起きたらカメラ壊しちゃってたドッキリ,863159
2021-08-30,我々は撮影後に消しピンをして遊んだ,363713
2021-08-28,？？？,685387
2021-08-26,てつ猫・ゆめ猫　初めての遭遇,1156772
2021-08-24,２週間ぶりの外食はじゃんけんで決めます,675013
2021-08-23,長めのサブチャンネル撮っただけで疲弊しました,621829
2021-08-22,ゆめまるの裁判だけ罪名が｢強盗｣なんだが,618591
2021-08-21,自宅待機からの復帰 トークのリハビリをしよう,820526
2021-08-20,２乗のあいつとドアラさんが並んでる…！,400746
2021-08-18,岡崎の奥地でおしゃれな｢クラシックカーミュージアム｣を発見した一行,438024
2021-08-16,【かき氷2021】ついにかき氷がサブチャンネルに登場…！,561074
2021-08-15,【かき氷2021】しばゆー怒られすぎ,816123
