投稿日,タイトル,再生数
2021-11-30,クイズ作家なら「あるなしクイズ」なしだけで当てられる？ Part.3,31786
2021-11-26,『打上花火』歌ってみた（柚木尚子×古川洋平）,10343
2021-11-26,【ウミガメのスープ】一人だけ斜めを向いた男の秘密とは？,41316
2021-11-22,クイズの問題文を細長くしたら逆に競技性が高まった,41636
2021-11-19,有名YouTuberの動画、タイトルだけで特定できるか!?,35140
2021-11-19,【ウミガメのスープ】家にいたのに自宅の呼び鈴を鳴らす男,42461
2021-11-17,答えが事前に分かるクイズのはずが……難しすぎる!?,41868
2021-11-15,ヒラメキで解ける！？タテヨコ１列のクロスワードが凄すぎたｗｗ,48557
2021-11-12,【質問不要】超簡単なウミガメのスープで早押しバトル！,59133
2021-11-12,【ウミガメのスープ】男の理不尽な怒りの矛先とは？,45925
2021-11-10,歌の一部だけを聴いて曲名を当てろ！,38807
2021-11-08,不動産広告かと思ったらクイズの問題だった【新井ver.】,44734
2021-11-06,プロ雀士が麻雀用語で『カブトムシ』歌ってみた #Shorts,10860
2021-11-05,ポーカー×クイズ！インディアンポーカークイズ,39780
2021-11-05,【ウミガメのスープ】仙豆があればでえじょうぶだ,58211
2021-11-03,同じ答えはアウト！ 絆が試されるダブルアンサークイズ,50091
2021-11-01,プロ雀士が麻雀用語で『SEASONS』歌ってみた #Shorts,13454
2021-11-01,『？？？』を麻雀用語で歌ってみた,38107
2021-10-29,料理好き必見！レシピで早押しクイズ,34187
2021-10-29,【ウミガメのスープ】女の心変わりの理由とは？【ゲスト：松嶋桃さん】,53601
2021-10-27,ガチクイズでバチバチのタイマン,38743
2021-10-25,リアクションを聞いて元の雑学を当てろ！【逆引きトリビア】,60141
2021-10-22,察して答えろ！第２回三森すずこクイズ！,63249
2021-10-22,【ウミガメのスープ】男の逆鱗に触れたねぎらいの言葉とは……？,60780
2021-10-20,石野グランプリ【卒業企画】,52924
2021-10-18,ランダムな単語で謎かけ…？出来るに決まってんだろ！！,54223
2021-10-15,クイズ王ならあらすじだけでタイトルわかる？,59421
2021-10-15,【ウミガメのスープ】行儀の悪い息子を褒める母親の謎,47355
2021-10-13,【多答】全部答えろ！【正解数不明】,45691
2021-10-11,【○○とは異なります】思わずツッコみたくなるWikipediaの世界,60251
2021-10-10,クイズ王式2億4千万のものまねメドレー,16155
2021-10-10,クイズ王による2億4千万のものまねメドレー #Shorts,15059
2021-10-08,電話口で漢字を伝えるクイズがメチャクチャ過ぎた,58115
2021-10-08,【ウミガメのスープ】二人が両想いなのに困った理由とは？,49828
2021-10-06,問題文の一部しか見えないクイズで神ワザ連発,39029
2021-10-04,競走馬の名前で痛快ひらめきクイズ！【ジャストフィット競走馬】,46413
2021-10-01,石野が卒業します,81226
2021-10-01,【ウミガメのスープ】疲れているのに歩くことになった驚きの理由,56769
2021-09-29,「○○の公式」を使えばあなたの生まれた曜日もわかります,42486
2021-09-27,ヒット曲の歌詞を作詞し直してみた結果ｗｗ【改悪】,49875
2021-09-24,３人しかいないけどファイブリーグがやりた～い！,63943
2021-09-24,【ウミガメのスープ】気付かないうちに薄くなった男の○○とは？,53233
2021-09-22,【神回】クイズ作家が本気で考えたウソ選択肢で騙し合い【たほいや】,83813
2021-09-19,ウミガメのスープ風難問クイズ、質問無しで瞬殺できる？,72531
2021-09-17,【ウミガメのスープ】数学ができなくなる本の謎,72944
2021-09-15,足りない仲間を探せ！ひらめき漢字クイズ,75698
2021-09-13,【得意ジャンルだけ】古川洋平生誕クイズ【誕生日記念】,44405
2021-09-11,クイズの問題文を整頓してみたらヤバすぎた,64453
2021-09-10,【ウミガメのスープ】簡単過ぎるのに確認が必要なものとは？,58735
2021-09-08,最強クイズ王集団による「クイズ寄席」開幕！【なぞかけ】,75342
2021-09-06,夏の終わりクイズ,53872
2021-09-03,【検証】最小限の情報だけで正解になるクイズ、成立する？,66320
2021-09-03,【ウミガメのスープ】嬉しくない歓迎に隠された謎,62765
2021-09-01,グッバイ宣言歌ってたらいきなりクイズ始まった,49511
2021-08-30,Mリーグ・KADOKAWAサクラナイツと早押し対決!!【コラボ】,42272
2021-08-27,子どもの疑問、クイズ王が全て答えます【電話相談】,66685
2021-08-27,【ウミガメのスープ】夢のターニングポイントになったものとは？,85894
2021-08-25,7〇3×クイズ【余り問題付き】,48146
2021-08-23,クイズ王がお届けするガチなぞなぞ ~2021・夏~,78539
2021-08-20,【ウミガメのスープ】男が奪われたものの正体とは？,67157
2021-08-18,【全員揃わないと×】漢字から連想するゲームをムズくしてみた【お題無し】,59835
2021-08-16,【QKリスペクト】数字だけで何か当てるクイズやってみたｗ,85368
2021-08-14,察して答えろ！三森すずこクイズ!!,117466
2021-08-13,【ウミガメのスープ】美しくなった自分に落ち込んだ女の謎,68810
2021-08-11,【3つは嘘】クイズ作家なら嘘を見抜けるか？高級食パン編,78481
2021-08-09,【出版記念】ダイエットタイムレースがヤバすぎた【クイズ王式】,34767
2021-08-08,『クイズ王式ダイエット』出版決定！ 痩せたいなら食事制限も運動もせずに〇〇をしろ！【古川洋平公式】,25121
2021-08-07,【アナグラムの限界】ダブルシャッフルクイズ！,39400
2021-08-06,【ウミガメのスープ】この時代に電話ボックスを使う理由とは？,72482
2021-08-05,手に入れた高級品を真っ二つ！？クイズ王が謎を瞬殺　#shorts,43604
2021-08-04,連想クイズからさらに閃け！ピラミッドヒントクイズ！,61160
2021-08-02,クセが凄すぎる「箱の中身は何だろな」やってみた,65288
2021-07-30,【漫画好き必見】全問漫画の問題でガチ早押しクイズ!!,68811
2021-07-30,【ウミガメのスープ】邪 王 炎 殺 黒 龍 波,71268
2021-07-28,クイズ王ならあらゆるスポーツのルールも完璧にわかる？【五輪応援】,51465
2021-07-26,【マジで】◯◯ッ◯25【2週連続やる】,49238
2021-07-24,4つの答えを3人で奪い合うクイズで名勝負生まれたｗ,64263
2021-07-23,【ウミガメのスープ】日の丸なのにニッポンの旗じゃない？,91048
2021-07-21,料理のレシピすら先読みするクイズ王【レシピクイズ】,45176
2021-07-19,◯◯ッ◯25【パネルクイズ アタック25リスペクト】,59702
2021-07-17,【漢字×ひらめき】一画足すクイズで異能が覚醒した,63938
2021-07-16,【ウミガメのスープ】人々が主張した不可解な内容とは？,63798
2021-07-14,【神業】クイズ王なら何のランキングか当てられる？,61976
2021-07-11,プロ棋士ならウミガメのスープの結末も読み切れる？【コラボ動画】,78810
2021-07-09,【検証】人は９つの文字だけで人物を特定できるのか,73646
2021-07-09,【ウミガメのスープ】毎日見ているのに見失ってしまうものとは？,67170
2021-07-07,【アニメクイズ】相関図だけでタイトルを当てるクイズ王 #shorts,64744
2021-07-07,もし最強クイズ王集団が東大王に出演したら【完全再現】,69209
2021-07-05,元のワードを見破れ！擬態ワードクイズ！,51881
2021-07-03,トロッコ問題にも瞬時に答えを出すクイズ王 #Shorts,48568
2021-07-02,２つのクイズ合体させたらクイズ王がバグった件ｗｗｗ,58106
2021-07-02,【ウミガメのスープ】急に言葉が分からなくなった男。一体なぜ？,89400
2021-06-30,答えに「ナリ」「ブー」「ズラ」が入るクイズで爆笑したｗｗｗ,56135
2021-06-28,クイズ王なら相関図だけで作品名当てられる？【アニメ好き集合】,337949
2021-06-25,帰ってきた！第2回外食チェーン王選手権！,65660
2021-06-25,【ウミガメのスープ】見たものに運動をさせるテレビとは？,73221
2021-06-23,クイズ王だから二重音声クイズひとりで出来ちゃった【説立証】,48052
2021-06-21,早押しボタン見えなくしたら究極の駆け引きクイズ爆誕した,62564
2021-06-20,【ウミガメのスープ】買い物をしないのに店に入った理由とは？,72230
2021-06-19,10万人突破で豪華ゲストからお祝いクイズをいただきました【銀盾開封】,144394
2021-06-16,【Wikipedia縛り】クイズ王も苦戦するワードバトル,75935
2021-06-14,スピッツorロビンソンどっちが曲名クイズがヤバすぎた【罰ゲーム付き】,89371
2021-06-11,「〇〇の名前にもなっている」クイズ、あなたは何問正解できる？,64848
2021-06-11,【ウミガメのスープ】無いはずの場所で見つかる探し物とは？,73288
2021-06-09,3段階にレベルアップするクイズが凄すぎた！【最後まで見て】,63688
2021-06-08,ウミガメのスープを一瞬で解くクイズ王 #Shorts,55252
2021-06-07,クイズ王なら存在しないことわざの意味も当てられる？【ニセインドことわざ】,61205
2021-06-04,答えの頭文字わかるクイズならめちゃめちゃ早く押せる？【検証】,63361
