投稿日,タイトル,再生数
2021-11-19,修学旅行のカバンの中身を紹介する玲美,29582
2021-11-04,父のクドイ話の連発で盛り下がるハロウィーン2021,31341
2021-10-23,喧嘩しそうな展開でも喧嘩しなくなった玲美＆稚奈,42015
2021-10-15,とある日の休日の過ごし方を紹介する玲美,82598
2021-10-13,呪術廻戦のシール開封が楽しすぎる玲美＆稚奈,41900
2021-10-04,たまには料理もするよ玲美＆稚奈,79672
2021-09-28,部屋紹介が楽しすぎる玲美,101938
2021-09-25,大事な時間に父に絡まれる玲美,34068
2021-08-17,お盆の夜に父のダル～い会話に付き合って眠らしてもらえない玲美＆稚奈,43833
2021-07-27,稚奈10歳の誕生日にママキレる,125717
2021-07-01,ママと英奈がいない夜玲美＆稚奈,126133
2021-06-25,父の日の為に書いた手紙を読み上げ更にその後もしつこい父に呆れる稚奈,50458
2021-06-09,まさかの地球グミにビックリ仰天玲美,169006
2021-05-22,英奈＆玲美作成らんま1/2ケーキに感動！父の誕生会2021,57153
2021-05-14,夕焼け小焼けな夕食玲美＆稚奈,86424
2021-04-22,もっこりなクリスマス三姉妹,131669
2021-03-21,津軽の言葉を舐めんじゃね！玲美,60941
2021-03-11,かけ算とカメムシとの闘い三姉妹,73375
2021-03-04,富士急 ディズニー 新大久保  2019.5.3三姉妹※音ズレしてます,85341
2020-09-09,稚奈に対して失礼な父にキレる玲美,158349
2020-08-21,焼肉屋で笑いすぎな英奈＆玲美,173196
2020-08-14,父との別れが辛いのか思わず涙を流す稚奈,192406
2020-07-29,つがる地球村での２年ぶりのキャンプにテンションが上がる三姉妹,248074
2020-07-22,９歳おめでとう！稚奈！,169718
2020-06-22,父の日に色々楽しむ三姉妹,158973
2020-06-06,英奈＆玲美＆リボンの同時誕生会2020,166773
2020-05-23,父の誕生日を祝う会三姉妹,225378
2020-05-16,運動でストレス解消三姉妹,282038
2020-05-09,ママへの感謝三姉妹,351567
2018-09-10,最後の動画です。今までありがとうございました！,1707873
2018-09-09,焼肉！食べれば食べるほどハイテンションになっていく三姉妹,608089
2018-09-08,家庭科の宿題で初めてのオムライス作りに挑戦する英奈,440607
2018-09-07,大迷惑だけど仕方ない父の夏休みの宿題チェック2018三姉妹,377992
2018-09-06,流しそうめん＆流しもずくのハーモニー三姉妹,173035
2018-09-05,三宿の恩義としてお手伝いと料理でジジ孝行する英奈＆玲美,138320
2018-09-04,大人っぽくなったココちゃんとの一年ぶりの再会を喜ぶ三姉妹,292247
2018-09-03,宮崎チキン南蛮バーガーと名古屋みそかつバーガーどっちが美味しい？三姉妹,141693
2018-09-01,毎週金曜は英奈の料理 #23 定番のチキンと珍しく野菜炒め＆味噌汁英奈,138674
2018-08-31,お世話になってる親戚のおばあちゃんの引っ越しの手伝いを頑張る三姉妹,79234
2018-08-30,露天風呂付きコテージ泊まって大自然の中で至福のBBQ！三姉妹,308215
2018-08-29,観るのもいいけどやっぱねぶたは跳ねるのが一番！三姉妹,63708
2018-08-28,ついに迎えた別れのショックで放心状態になる三姉妹,185692
2018-08-27,久々の割と似た者でガチ利き対決で椅子取り対決のリベンジなるか？三姉妹,416573
2018-08-25,椅子取り対決／秋田の親友vs青森三姉妹,335251
2018-08-24,秋田のファンの方との夏休みの思い出作りの始まり三姉妹,320085
2018-08-23,花火大会の花火より花火前の方が楽しそうな三姉妹,110571
2018-08-22,関西旅行の思い出を語りながら改めて稚奈の誕生会三姉妹,75216
2018-08-21,ママの新しい車になるかもしれない車に試乗する玲美＆稚奈,144316
2018-08-07,毎週金曜は英奈の料理 #22 パパが大好きなママの味を伝授してもらう英奈,144151
2018-08-06,関西旅行最終日／パンダヴィレッジで祝う稚奈７歳の誕生会が楽しすぎる三姉妹,137911
2018-08-05,オシャレな神戸のファンタスティックな夜を存分に満喫した三姉妹,70989
2018-08-04,あべのハルカス昇ったよ！三姉妹,70916
2018-08-03,大阪のファンの方と食事を楽しみ夜の道頓堀には圧倒される三姉妹,92999
2018-08-02,猛暑の中の初ユニバを満喫！三姉妹,123757
2018-08-01,最初で最後のキッザニア甲子園三姉妹,96310
2018-07-31,距離も暑さも半端ない！道中を楽しみながら関西初上陸三姉妹,129839
2018-07-30,毎週金曜は英奈の料理 #21 うなぎでスタミナつけていざ、大阪へ！三姉妹,104454
2018-07-29,絶対楽しい事いっぱいな夏休みにいよいよ突入！三姉妹,144166
2018-07-28,夏休み直前の恐怖三姉妹,70559
2018-07-27,玲美の見事な物言いで窮地に追い詰められていく英奈,158520
2018-07-26,またまた勘違いパパのせいでスイミングバスに乗り遅れてしまった玲美＆稚奈,82771
2018-07-25,ひょっこりはんに対抗出来そうなネタを数分で完成させた玲美＆稚奈,56553
2018-07-24,木村カフェテリアンズでお互いの父親を語り合う親友レミ＆チナ,110441
2018-07-23,海の日最高！三姉妹,107076
2018-07-22,いきなり仙台！2/2 いとこと遊ぶ遊園地が楽しくて仕方ない三姉妹,93181
2018-07-21,いきなり仙台！1/2 いとこと初めての長旅と宿泊でテンション上がりっぱなし三姉妹,138501
2018-07-20,毎週金曜は英奈の料理 #20 食べたい気持ちと来客と遊びたい気持ちが複雑に入り混じる三姉妹,96396
2018-07-19,たまにはこういう夜もある玲美,134697
2018-07-18,ダイレンをください！玲美,69588
2018-07-17,玲美が好きな人の父親が採ってきたミズの皮むき後の感謝の手紙玲美,38236
2018-07-16,七夕の願い事2018三姉妹,55179
2018-07-15,毎週金曜は英奈の料理 #19 せっかく作ってやってんのに父に品数の少なさを指摘される英奈,103515
2018-07-14,夕食の邪魔をしてくる父を優しく受け止めてあげる玲美,75729
