投稿日,タイトル,再生数
2021-11-28,フォレスチックパークというアスレチックの森が忍者レベルすぎて大興奮！！,561979
2021-11-27,怒ってるけど笑っといた方が穏便だと思った人,396933
2021-11-26,いきなり自宅に超激レアなドラムセットが届いたんだけど！？！？,662889
2021-11-25,今年のYTFF Japanに出演することになりました！！#YTFF,244130
2021-11-25,ネタがないです。,1493383
2021-11-24,大量の球を撃つ「ランチャー玉入れ」が威力抜群すぎて一定の目処超えたwww,652739
2021-11-23,【人生】27年分の思い出の品をまるごと並べたら総額も量もヤバかった！？,781187
2021-11-22,いないないばあで爆笑する赤ちゃんとンダホ,668401
2021-11-20,10000個のアヒルがいきなりお風呂場にあるドッキリを妻と仕掛けてみたwww,966742
2021-11-19,【超特大】おとどの大魔王ラーメンを頼んだらお腹爆発するかと思ったwww【大食い】,1345690
2021-11-17,YouTubeから低評価数非表示になるらしいから考えを話します。,543102
2021-11-16,【ギガ鉄板】超巨大絶品チャーハン１５０人前をキャンプで作ったらウマすぎた！！【デカ料理】,2012387
2021-11-15,【第２回】フィッシャーズガチ歌王決定戦！次世代の歌ウマ王は誰のものに！？,1431047
2021-11-14,3200万円の世界三大高級時計、売ります。【AUDEMARS PIGUET】,760625
2021-11-13,ダマされたら即敗北「人狼鬼ごっこ」をフォーエイトとやったら神回になった！？,1925669
2021-11-12,利きエナジードリンクで15種類のうち大好きなレッドブルを当てないとブーストして終われませんwww,749389
2021-11-11,世界一まずいカップラーメン食べたら予想外の味すぎてドン引き。,974900
2021-11-08,【ドッキリ】森の中で大きなクマさんに出会った時の反応が異常すぎた！？ Meat a bear prank,1576307
2021-11-07,【大食い】総重量３.５kgのペヤング味噌うどんペタマックスをおデブVSガリ2人で早食い対決したらまさかの結末になった！？,1016916
2021-11-06,【恐怖】死んでしまうオンライン会議で奇跡起こして大爆笑不可避www,1637732
2021-11-05,雪見だいふくを使った超おいしいトーストの作り方！　#禁断の雪見トーストチャレンジ　#雪見だいふく　＃PR　#Shorts,1134766
