投稿日,タイトル,再生数
2021-08-15,Daichi × Hikakin Beatbox 2021,638616
2017-09-16,HIKAKIN × SEKAI NO OWARI「RAIN」,12795424
2015-11-27,HIKAKIN × エグスプロージョン 本能寺の変 @YouTube FanFest 2015,8325695
2015-09-01,HIKAKIN Beatbox 2015 ver.,3782357
2014-12-29,HIKAKIN BEATBOX × HIFANA,1936745
2014-12-16,NE-YO × HIKAKIN BEATBOX - Coming With You & Because Of You,3277394
2014-12-05,Ariana Grande - Break Free ft. HIKAKIN,10302591
2014-10-25,HIKAKIN Beatbox Live - YouTube FanFest Japan 2014,4776840
2014-06-27,"Let It Go Beatbox Cover (from ""Frozen"") アナと雪の女王 レットイットゴー",14730145
2014-02-07,Ariana Grande Baby I feat. HIKAKIN,10648752
2013-09-16,口だけで女々しくてやってみた！Golden Bomber Memeshikute Beatbox！,8716886
2013-08-14,Hikakin × Aerosmith Live Again！8/16 in Osaka！,657663
2013-06-29,HIKAKIN × Dub FX - BEATBOX,1570187
2013-06-26,Beatbox × Eyebrow Dance - Hikakin & Sarah Ellen,2121203
2013-06-16,Hikakin × Aerosmith × Nonstop - Walk This Way,5361053
2013-06-03,PSY - GENTLEMAN BEATBOX COVER,2624717
2013-05-25,Hikakin Beatbox × Destorm Rap,1940859
2013-05-21,Hikakin × David Choi - You Were My Friend,426387
2013-03-15,Hikakin Beatbox Song on iTunes Store!,531555
2013-03-01,Harlem Shake (Beatbox Edition),3098235
2013-02-27,Zedd - Spectrum ft. Matthew Koma (Hikakin Beatbox Remix),692769
2013-02-22,Hikakin Beatbox × Marie Digby Collaboration,578158
2013-02-01,Mission Impossible Theme Beatbox,4837401
2012-12-26,TETRIS BEATBOX,1245758
2012-12-07,"Special Beatbox Speaker ""ikakin""！",544496
2012-10-13,BEATBOX × DIGIT - (HIKAKIN × K.E.N-DIGIT),823635
2012-10-03,GILLE - GIRLS [with HIKAKIN + Daichi Beatbox Ver.],2201020
2012-09-21,Hikakin Beatbox × Sony PS Vita！,263527
2012-09-11,Hikakin & Daichi  Beatbox Live Information！,684129
2012-09-06,Canon in D Beatbox Multitrack,3165189
2012-08-03,Lupin The Third Beatbox - ルパン三世ビートボックス,3570192
2012-07-25,Cool Guy Dubstep Beatbox,1184809
2012-06-22,Beatbox Game - Hikakin vs Daichi,30038820
2012-06-21,『myIsh Promo』Hikakin and Nonstop - Beatbox and Dance Collaboration,287523
2012-06-19,Hikakin & Daichi Beatbox Live info,450064
2012-06-15,Mortal Kombat Beatbox,7195036
2012-06-11,"Hikakin Beatbox Live @Shibuya 109 ""MADCROC"" Event",676810
2012-05-21,MOUTH DUBSTEP,2848208
2012-05-10,BEST SKRILLEX BEATBOX BLOOPERS,956137
2012-05-09,BEST SKRILLEX BEATBOX,36588104
2012-05-07,Hikakin & Seikin Bloopers,1311693
2012-05-05,Pitbull - International Love ft. Chris Brown Cover (Chris Brown Part),10837811
