投稿日,タイトル,再生数
2021-11-28,"ヒカキン、人生初の1000円カットで""おまかせ""したらまさかの髪型に!?【登録者1000万人記念】",96137
2021-11-27,YTFF2021開催！#YTFF #2021 #Shorts,111391
2021-11-26,50年後ユーチューバーはこうなります,1115207
2021-11-23,【革命】煙出ない赤外線焼肉機で高級肉焼いたら気絶級の美味さでした…【アラジン グラファイト グリラー】【Aladdin】,1569455
2021-11-21,新500円玉を銀行で100万円分おろしてきて貯金箱に全部ブッ込むwww,1885884
2021-11-19,【人生終了】バカラの308万円ガラスピカチュウを開封直後に破壊…【ポケモン】【ヒカキンTV】【ポケットモンスター】,2347422
2021-11-16,【マジでエグい】東京の街中、全て俺の顔になってるんだけどwww,1483358
2021-11-14,【超高級】93万円の柿購入！食べたら鳥肌が止まらない味でした…【ヒカキンTV】,1235772
2021-11-12,人間みたいに寝る猫、まるお。  #Shorts #猫 #ねこ,724759
2021-11-11,【緊急動画】YouTubeの低評価数 非表示って大事件だろ！【みんなの意見コメント待ってます！】,2303254
2021-11-10,【TikTokで話題】カップヌードルにチーズ入れて油で揚げるとマジで飯テロwww,1628207
2021-11-07,ヒカキン、彼女とのLINEをさらしていくぅぅぅぅぅwww,2438139
2021-11-05,雪見だいふくをパンにのせて焼くとマジうますぎ…#Shorts #PR #禁断の雪見トーストチャレンジ#雪見だいふく,1188039
2021-11-05,【デカさ100倍!?】炊飯器でたこ焼き作ったらデカすぎワロタwww【ヒカキンTV】,1521475
2021-11-02,【ツイッターで５万いいね】柿をトースターで焼いてバターのせるとマジウマいらしいぞ…【ヒカキンTV】,1024717
2021-10-31,重要なご報告,3081420
2021-10-29,【裏技】白身と黄身が逆転した卵の作り方！【黄身返し】【反転】,1391395
2021-10-27,ヒカキン ビートボックス ウインドテクニック【Hikakin Beatbox Wind Technique】#Shorts,969783
2021-10-26,【お店超えた!?】揚げたてのファミチキを家で作れるセットがうますぎて気絶…【ヒカキンTV】,2027340
2021-10-24,ヒカキンビートボックス喉スネア【32歳の響き】 #Shorts,2098673
2021-10-24,【第1回 ビートボックスクイズ】がマニアックすぎて放送事故www【HIKAKIN × Rofu】【Beatbox Quiz】,1815160
2021-10-22,アイスのスーパーカップで蒸しパン作ったらうますぎた…【スーパーカップ蒸しパンの作り方】,2749274
2021-10-20,【ランキング】ヒカキンが選ぶ合体カップヌードルランキング！【カップヌードルソーダも】,1226179
2021-10-17,"【初対面】Beatboxアジアチャンピオン""ロフ""の前にいきなりヒカキン登場ドッキリwww【Rofu×HIKAKIN】",4624712
2021-10-15,iPhone 13 Proを2週間使ってわかった良いところ悪いところ徹底レビュー！,1669167
2021-10-12,【まるごとオレオアイス】色んなお菓子でアイス作ったらまさかの結果にwww【OREO ICE CREAM】,2804924
2021-10-10,【YouTuber必見】炎上のプロの実体験から学ぶ炎上教室【はじめしゃちょー先生】,1778728
2021-10-08,ヒカキンTVにダイヤモンド再生ボタンがついに届いた！【チャンネル登録者1000万人の証】,7279628
2021-10-07,ヒカキンのモンパカパーンダンスwww  #Shorts #モンパカパーン #PR #YouTubePartner,975572
2021-10-07,地震でトイレが大変なことに…余震に備えましょう。#shorts #地震,2837271
2021-10-07,【地震発生】東京震度5弱。関東の皆さん余震お気をつけて… 【備えよう】#Shorts,2444529
2021-10-06,梨を原液のカルピスにつけるだけで超ウマいって知ってた?,1376171
2021-10-02,1本5000円の超高級はちみつでカラフルハニーゼリー作って食べたらまさかの事態に…,3930017
2021-10-01,【YouTube自動字幕実況】登録者1000万人突破の瞬間の自動字幕で大爆笑www,1101783
2021-09-28,本田翼さんの大好物IKEAホットドッグ全種類食べ比べ！【イケア IKEA】,1218159
2021-09-26,【開封】新型スイッチ有機ELモデルやばすぎだろ！ #Shorts,1631932
2021-09-25,ヒカキンの華麗なる着衣水泳 #Shorts,734458
2021-09-25,【悲報】iPhone13 Proシリーズ全種類高さ３m水深５mに落下&水没…【開封レビュー】【iPhone 13 Pro Max】【ヒカキンTV】,2889369
2021-09-23,【新モデル】ニンテンドースイッチ有機ELモデル発売前に最速で開封して遊びまくってみた！【Nintendo Switch】【ヒカキンTV】,3178821
2021-09-21,【セブン】ヒカキン32歳、初めてのマリトッツォ…【セブンイレブン】,2034568
2021-09-19,登録者1000万人超えたらYouTube公式さんから謎のプレゼントが!!!,5304429
2021-09-17,フワちゃんがウザかったのでスライム顔面にぶつけてブッ倒したwww #Shorts,7952554
2021-09-17,【ヒカキンTVの今後についてのご報告】登録者1人増えるごとに10円を一生募金し続けます。【1000万人突破した今の想い】,3522464
2021-09-13,ジェラピケ×マリオ全種類開封したら最高すぎたwww #Shorts #ジェラートピケ #gelatopique #pr,1393559
2021-09-12,ヒカキン1000万人突破生配信の裏側,2862206
2021-09-10,1000万人YouTuberのオーラがすごすぎる… #Shorts,2135584
2021-09-10,ヒカキンTV1000万人生配信のスーパーチャットの速度がヤバすぎる… #Shorts,2375126
2021-09-10,ヒカキンTV登録者1000万人突破生配信ダイジェスト！ #Shorts,1073760
2021-09-10,ヒカキンTV登録者1000万人突破の瞬間！ #Shorts,1986597
2021-09-09,ヒカキンTV登録者1000万人行くまで生配信！(3分55秒からスタート！),8138012
2021-09-09,緊急のご報告,4695471
2021-09-07,35万円のルイ・ヴィトン製スピーカーが異次元すぎた… #Shorts,1034262
2021-09-07,35万円のルイ・ヴィトン超高級スピーカーが異次元すぎた…11万のフェイスシールドも購入w,1649673
2021-09-04,助けてください,2998397
2021-09-03,トイレの花子さんがプロのビートボクサーだったら… #Shorts,1642641
2021-09-03,【閲覧注意】うんち焼き本気で作ったら放送事故になりましたwww【うんこ焼き】,1950684
2021-08-30,"ビートボックス ""ボー"" 講座【インワードリップベース】【ヒカキン＆Daichi】【Beatbox】",2156935
2021-08-29,【TikTokで話題】大量のカラフルえびせん一気に油に入れたら大爆発… #Shorts,985662
2021-08-29,カラフルえびせん一袋一気に揚げたら大変なことにwww,2425021
2021-08-27,高級食材で炊飯器超巨大チーズinハンバーグ作ったらウマすぎwww,3176839
2021-08-25,全日本猫寝相選手権チャンピオンまるお #Shorts,859731
2021-08-24,チャンネル登録者数1000万人いっても祝うことはやめました。,5007764
2021-08-23,【見つけたら天才】ヒカキンを探せ！ #Shorts,2357592
2021-08-22,【退学】学校の廊下で100本ボウリングやるヤンキーwww #Shorts,1392168
2021-08-21,もしも校長がプロのビートボクサーだったら… #Shorts,3698093
2021-08-20,HIKAKIN & SEIKIN - FIRE,12732849
2021-08-20,【大惨事】輪ゴムでスイカ大爆発して天井までブッ飛んだw【TikTokで人気】#Shorts,1897372
2021-08-19,【炎上】TikTokでバズってる激ウマ焼きマシュマロの皮で大炎上www #Shorts,2509596
2021-08-18,尾田栄一郎先生が描くヒカキン【ワンピース】【ONE PIECE】#Shorts,1596731
