投稿日,タイトル,再生数
2021-12-01,【青鬼オンライン】過去一ヤバい雰囲気の青鬼が登場…【青の要塞1〜3階】【ヒカキンゲームズ】,166887
2021-11-28,【ヒカクラ２】Part80 - ウィザーに消滅させられたエンドラの頭とりにエンド行ったらエンドシップ５個!?!?!?【マインクラフト】【マイクラ】【Minecraft】,1283056
2021-11-27,【ヒカクラ２】Part79 - 超簡単な地下型トラップタワー作ったらアイテムザクザク!?【マインクラフト】【マイクラ】【Minecraft】,1536628
2021-11-26,【ヒカクラ２】Part78- 村人大量増殖！村完全復活へ！【マインクラフト】,1175272
2021-11-24,【ヒカクラ２】Part77 - 村人大暴走!? 鉄道つくって２年ぶりに村復活へ！【マインクラフト】,1343525
2021-11-20,ヒカキン・セイキン・はじめしゃちょートリオならバトロワ余裕で優勝出来る説【FF7FS】,772794
2021-11-20,【ヒカクラ２】Part76 - 亀の産卵後、即卵を割るサイコパスキン…亀のヘルメットをゲットしたい！【マインクラフト】,1536125
2021-11-19,ポケモン ダイパリメイクプレイしたら感動！【ポケットモンスター ブリリアントダイヤモンド・シャイニングパール】【ポケモンBDSP】,1326222
2021-11-18,【ヒカクラ２】Part75 - 村が激しくハードモード襲撃…平和なカメ探しのはずが【マインクラフト】,1739707
2021-11-17,【フォートナイト】ナルトでビクロイするまで終われませんwww【ヒカキンゲームズ】,1214905
2021-11-14,【ヒカクラ２】Part74 - ウィザー倒してゲットしたネザースター使ってビーコン作り&レベル上げ鉱石集め！【マインクラフト】,1715554
2021-11-13,【APEX】えぺまつり外伝2 冬将軍ヒカキン視点【エーペックス】【Apex Legends】,623607
2021-11-12,【ヒカクラ２】Part73 - ウィザーに壊された家をガラスでリニューアル！まさかのうまおが帰ってきた!?【マインクラフト】,2571490
2021-11-10,【APEX】ヒカキン、覚醒し奇跡の大逆転を起こす…【エーペックス】【Apex Legends】,401090
2021-11-09,【ヒカクラ２】Part72 - 家修復スタート！ウィザー戦のみんなのコメント読みながら今後の方針を決めていく！【マインクラフト】,2040222
2021-11-07,【ヒカクラ２】Part71 - アイテム5000個以上消滅!?ウィザーに破壊された被害確認と巨大な穴の底でダイヤ掘り…【マインクラフト】,2768632
2021-11-05,【ヒカクラ２】Part70 - 放送事故…ハードモードのウィザーが強すぎてヒカクラ2ワールド消滅…【マインクラフト】,4689365
2021-11-04,【ご報告】ヒカクラ ファンのみんなへ。取り返しのつかない大事故が起きてしまいました。。。【マインクラフト】,3853729
2021-11-03,【APEX】新シーズンをSHAKA、ヒカキン、狩野英孝でプレイ！目指せチャンピオン！【Apex Legends/エーペックスレジェンズ】【ESCAPE】,1004062
2021-10-26,【FORTNITE】大好きなバイオハザードコラボでビクロイかますぜ!?【ヒカキン ゲームズ】,831618
2021-10-24,ヒカキンのスーパーマリオ3Dワールド実況 パート11【溶岩の上でクッパとバトル】【Nintendo Switch版】,764784
2021-10-23,【マインクラフト ミニオンズ】Part3 - ラスボス軍団登場!? 一気に５人倒せるか!?【ヒカキンゲームズ】,427087
2021-10-22,フォートナイトのラスボス倒したら全武器金でドロップしてビクロイ余裕!?【ヒカキンゲームズ】,1073432
2021-10-21,【青鬼X 卓郎編 後編】ヒカキンの青鬼X実況プレイ - 超大量にガイコツぶっ壊すサイコパスwww【ホラーゲーム】,817552
2021-10-19,【スマブラSP】ソラ参戦初日の初見プレイでオンライン無双できる説！& ショップ全購入!!【ヒカキンゲームズ】,1590508
2021-10-16,【青鬼X 卓郎編 前編】ヒカキンの青鬼X実況プレイ - 過去最高にアイテムの数がエグすぎる青鬼www【ホラーゲーム】,955062
2021-10-13,【マインクラフト ミニオンズ】Part2 - カンフーオヤジ軍団強すぎワロタwww【ヒカキンゲームズ】,874199
2021-10-11,【悲報】ヒカキンついに悪質チーミングに遭遇…【FORTNITE】【チート】,1465998
2021-10-10,【マインクラフト ミニオンズ】Part1 - マイクラのミニオン脱出ゲームがおもしろすぎたw【ヒカキンゲームズ】,1610120
2021-10-08,【フォートナイト 】ヒカキン、超覚醒ヴェノムビクロイをしてしまう!?!?【FORTNITE】,1240839
2021-10-07,メトロイド ドレッド初見プレイ！1時間30分でコルピウスを倒せるか!?【MetroidDread】【ヒカキンゲームズ】【Nintendo Switch】【ニンテンドースイッチ】,1384436
2021-10-06,【ヒカクラ２】Part69 - 奇跡連発の神回！ウィザースケルトンの頭大量ゲット!? いよいよウィザー戦へ！【マインクラフト】,1446697
2021-10-02,【マインクラフト】超大量のシュルカーとエンダーマンでバトルしたらまさかの事態にwww【マイクラ】【ヒカキン×赤髪のとも】,627730
2021-10-01,【マインクラフト】1000体の戦い！アイアンゴーレム vs ラヴェジャー！勝つのはどっち!?【マイクラコロシアム】【ヒカキン×赤髪のとも】,981263
2021-09-26,青鬼がくまモンになっててめっちゃムズくなってる!?!?!【青鬼オンライン】【ヒカキン ゲームズ】,677629
2021-09-23,【フォートナイト 】８万円のバレンシアガコラボパーカー着てたらビクロイ余裕説【FORTNITE】【ヒカキンゲームズ】,1190984
2021-09-19,【APEX】ヒカキン、ソロカジュアルで大暴れしてしまう…【ランパート強化】【エーペックス】【ApexLegends】,474602
2021-09-18,【マインクラフト】１から初めてエンダードラゴン倒すまで終われない生配信w【ヒカキンゲームズ】,3058962
2021-09-18,【マインクラフト】超人気YouTuberたちのマイクラ本気バトル！秋のマイクラプレミアムステージ！【ヒカキンゲームズ】,529725
2021-09-17,【APEX】山田涼介・ヒカキン・渋谷ハルで初コラボ！【LEOの遊び場】【エーペックス】【ApexLegends】,962908
2021-09-14,【VCC APEX】ヒカキン、NIRU、清水翔太で大会参戦！【エーペックス】【ApexLegends】,663377
2021-09-14,【フォートナイト 】シーズン8初見プレイ！初ビクロイなるか!?【ヒカキンゲームズ】【FORTNITE】,1790083
2021-09-12,【フォートナイト】シーズン8へのワンタイムイベントでUFO大爆発してマップ大幅変更!?【FORTNITE】【ヒカキンゲームズ】【シーズン7】,1351773
2021-09-12,【フォートナイト】シーズン8へのワンタイムイベント！スタートは36分13秒から！【FORTNITE】【ヒカキンゲームズ】,462228
2021-09-11,【APEX】大会後にヒカキンチャージライフル覚醒！２連続チャンピオン!?【エーペックス】【Apex Legends】,633916
2021-09-09,【青鬼オンライン】ヒカキンの遺跡最上階隠しステージが完全な無理ゲーでしたwww,715046
2021-09-05,【青鬼オンライン】ヒカキンの遺跡に挑戦w 全部ヒカキン青鬼パワーアップ版www【ヒカキンゲームズ】,937624
2021-09-03,ヒカキンのスーパーマリオ3Dワールド実況 パート10【激ムズ炎の超高速ステージ】【Nintendo Switch版】,1588437
2021-09-02,ヒカキン、実はカキン(課金)でした。【これがガチ勢の本気ガチャ】【逆転オセロニア 】,891675
2021-09-01,【APEX】ヒカキン初の大会でチャンピオン×３で感動の嵐！【エーペックス】【ヒカキン × 葛葉 × 渋谷ハル】【えぺまつり夏の陣】,501704
2021-08-30,【APEX】大会にソロで突っ込むVTuberヒカキンの勇姿【えぺまつり夏の陣スクリム】【エーペックス】,338387
2021-08-28,"最強ラスボス ""零の鬼""登場…リアル鬼ごっこサバイバル０【マインクラフト】【ヒカキン×JPAPAコラボ】",3735439
2021-08-28,【APEX】えぺまつり夏の陣本番！ヒカキン・葛葉・渋谷ハルチーム！【バーチャルホストクラブ】【エーペックス】,491553
2021-08-27,【APEX】えぺまつり夏の陣スクリム！VTuberヒカキン・葛葉・渋谷ハルトリオ！【ApexLegends】【エーペックス】【バーチャルホストクラブ】,303704
