投稿日,タイトル,再生数
2021-11-28,【胃にポリープ】成人病と闘うおっさん（ダンディ）は胃カメラで号泣だぜMAJIDE［BOD］,8649
2021-11-27,【ジャパンカップ2021】オレが一番好きなレースで勝って欲しい馬は【マカヒキ】,6086
2021-11-25,おっさん（ダンディ）の戦いを見てくれ集まれダンディどもMAJIDE,14580
2021-11-20,【中止します】FX自動売買動画の更新ストップ,23902
2021-11-18,【FX詐欺!？】潰れた会社の銀行口座を使いまわしている【本人証言】,24575
2021-11-17,出演拒否って理由を教えて下さい。オファーから制作までを整理しました。,18132
2021-11-16,詐欺なのかを追求するぜ！MAJIDE,17682
2021-11-08,詐欺に加担しているかどうかお話します。コレコレさん電話にでれなくてすいませんMAJIDE,79187
2021-11-02,禁断のぉぉぉぉ給料明細で夢も希望も無くなるな!!生きろMAJIDE,48070
2021-10-27,Google Pixel 6 開封の儀落下テスト始めしてさようなら,20948
2021-10-26,飛べ！！高く強く高く飛べ！！高く強く高く ♪,18069
2021-10-25,親父とさよならだぜMAJIDE！,41935
2021-10-23,成田空港から八王子【雑談ドライブ】コメント読めないぜMAJIDE,14010
2021-09-29,【２４時間耐久テスト４】フィニッシュするだろ？本番直前オンラインクレーンゲーム世界初３人同時プレイを調整,47060
2021-09-28,【２４時間耐久テスト３】フィニッシュ間近！？本番直前オンラインクレーンゲーム世界初３人同時プレイを調整,16689
2021-09-27,【２４時間耐久テスト２】本番直前オンラインクレーンゲーム世界初３人同時プレイを調整,8876
2021-09-27,【２４時間耐久テスト】本番直前オンラインクレーンゲーム世界初３人同時プレイを調整,13834
2021-09-20,【テスト】本番直前アップデート２,17904
2021-09-20,【テスト】本番直前アップデート,6315
2021-09-15,【テスト】本番直前3台同時テスト,17481
2021-09-13,【テスト】本番に向けて右アーム台を構築MAJIDE,14235
2021-09-06,はんだ付け。初めてしました。,21572
2021-09-03,日々進化していく電気工作！こんなんもできるんだぜ！,13146
2021-09-01,これはすごいシステムだ！近づけただけでこいつ動くぞ！！,10809
2021-08-31,ついに完成したぜ！永久機関マシーンが！,13619
2021-08-26,【多分失敗】雑談しながら平和に電子工作だぜMAJIDE,15792
2021-08-21,【テストプレイ】右アームで猫を取ったらジャックポット動くかテスト［オンラインクレーンゲーム］,13052
