投稿日,タイトル,再生数
2021-11-30,謎の縛りプレイに巻き込まれたポッチャマ - 神ゲー ポケモンダイパリメイク Part2,43683
2021-11-29,水に住む最強の恐竜を飼育できるジュラシックワールド建築ゲームが面白い,153280
2021-11-27,誰もが衝撃を受けた神ゲー「ごく普通の鹿のゲーム」がとんでもない結末を迎えました【 DEEEER Simulator 製品版 】,356149
2021-11-26,「体調不良者が続出して閉館した資料館」の地下室の秘密が怖すぎるホラーゲーム【 頭痛 - 全エンディング回収 】,296750
2021-11-25,高所恐怖症と一緒に富士急ハイランドの「最恐アトラクション」に乗ってみた,124996
2021-11-24,睡眠導入剤生放送【お片付けゲーム Unpacking - END】,242055
2021-11-23,「最恐の翼竜が空から人を誘拐してめちゃくちゃすぎる」ジュラシックパーク運営ゲーム,220333
2021-11-22,新作マリオパーティの「高難易度ホラーマップ」での戦いが面白すぎる【 マリオパーティ スーパースターズ 】,178344
2021-11-21,夢のディズニーランド貸切！マイクラのディズニー公式マップのクオリティーが凄すぎる,219110
2021-11-20,終末世界の地下避難所で「銃で狩りをするお料理ゲーム」がハプニングだらけで笑う【 Cooking Simulator 】,248679
2021-11-19,さあ冒険に出かけよう！ポケモン史上最高の神ゲー - ポケモンダイパリメイク Part1,205679
2021-11-18,「恐竜が檻から脱走して人間を襲いまくる」ジュラシックパーク経営ゲーム,356247
2021-11-17,２週間ぶりの水曜日生放送だ！！！【デッドバイデイライト / 新作マリオパーティ】,231600
2021-11-17,【LOOK BOOK】ポッキーとれんの秋1週間コーデ【ゲーム実況者】,111150
2021-11-16,平和な会社で働く「狂った殺人鬼から生き延びるホラーゲーム」が不気味すぎる,304213
2021-11-15,「命をかけて学校をサボるゲーム」の選択肢がぶっ飛びすぎてて笑う,303592
2021-11-14,自分だけのジュラシック・ワールドを建設できるゲームが楽しすぎて笑う,420108
2021-11-13,人肉アイスクリーム屋に監禁された子供を救うホラーゲーム「 Ice Scream 」,425093
2021-11-12,今話題の「片付けができない人は絶対にクリアできないゲーム」が面白い,324708
2021-11-11,世界初！？ポチャッコと一緒に水上ボートライド乗ってみた！【サンリオピューロランド】,149963
2021-11-11,ポッキーから発表,198979
2021-11-10,お知らせ,140456
2021-11-06,【監禁】牢屋の中で24時間生活してみた,242467
2021-11-05,必ず笑ってしまう「ムキムキの犬が全速力で追いかけてくるホラーゲーム」がやばい,385800
2021-11-04,この世で最も多くの人が訪れた伝説の喫茶店がついにオープン 「あつまれ どうぶつの森」【25日目】,284585
2021-11-03,新作マリオパーティ世界大会！！！【マリオパーティスーパースターズ / Apex新シーズン】,329852
2021-11-02,【警告】軽い気持ちで「ハッキングされたオンライン会議」に参加しないでください,492723
2021-11-01,「怪奇現象を起こしまくる赤ちゃんのお世話をするホラーゲーム」がとんでもなくて笑う,382518
2021-10-31,深夜のラジオ局に届いた「心霊体験お便り」の謎を探るホラーゲームが怖い【 深夜放送 】,500510
2021-10-30,新作マリオパーティの「知らない人とオンライン対戦」が面白すぎる【 マリオパーティ スーパースターズ 】,298256
2021-10-29,奇妙な悪夢をみる少年を救う不幸すぎるゲーム「 Happy Game 」,278100
2021-10-28,恐怖の「洞窟で人食クマと鬼ごっこするホラーゲーム」で叫びまくる【Dark Deception Chapter 4 後編】,476794
2021-10-27,激やばオンライン対戦やる！【 マリオメーカー2 】,231757
2021-10-27,初登場！親にガチ電話して言われる言葉を当てろゲームが恥ずかしすぎる！,103227
2021-10-26,謎の「地下牢に監禁された少女たちを助けるゲーム」の主人公の結末が衝撃だった,179629
2021-10-25,最強にいじわるすぎる問題集,215252
2021-10-23,「広告捏造」をしまくってる大問題ゲームが面白い【 ホームスケイプ - Homescapes - 】,325460
2021-10-22,今話題の「 イカゲーム 」を体験できるゲームのクオリティがヤバすぎて笑う,696483
2021-10-21,絶望の「殺人テーマパークで人喰いウサギと鬼ごっこするホラーゲーム」が怖すぎる【Dark Deception Chapter 4 中編】,726388
2021-10-20,薬の売人になるゲーム＆警察官になるゲームで爆笑する【Drug Dealer Simulator ＆ Police Simulator】,247825
2021-10-20,辛いのが超得意な男は「18禁カレー」を食べても平気なのか,122818
2021-10-19,【VR】最高のスリル！「 Oculus Quest 2版 バイオハザード4 」が凄すぎる【先行プレイ】,479962
2021-10-18,幸せな家族に何が？闇が深すぎるアプリ「 僕のヤミカワ彼女 」,565512
2021-10-17,今海外で話題の「廃墟となったおもちゃ工場の闇を探るホラーゲーム」【 Poppy Playtime 】,1258048
2021-10-15,衝撃映像にツッコミを入れまくるゲームがめちゃくちゃで面白すぎる,198217
2021-10-14,主役が「魚」のとんでもなく狂ったゲーム【 俺は魚だよ 】,466955
2021-10-14,狂気の「拷問病院でひたすらナースと鬼ごっこするホラーゲーム」で大絶叫する【Dark Deception Chapter 4 前編】,715037
2021-10-13,子供の夢！駄菓子1万円分に埋もれながら食べまくってみた！！！,148097
2021-10-12,善人も逮捕できる警察官の体験ゲームがヤバすぎて面白い【 Police Simulator 】,445081
