投稿日,タイトル,再生数
2021-12-01,【超難問】東大クイズ王なら広辞苑にない言葉でも答えられるのか？,21053
2021-11-29,「読み方忘れちゃったんですけどなんとかクイズ出しますね」,426963
2021-11-26,【！？】東大生、ストレス発散しろって言われて勉強し始める,488819
2021-11-24,当てはまる言葉をたくさん答えろ！東大生が語彙力で本気バトル！【多答スプリントシャウト】,424066
2021-11-22,東大生が本気で印象操作【騙されないで】,706098
2021-11-19,【ブーメラン】1年前に出したイジワルクイズ、本人に出題してみた,723701
2021-11-18,【3秒で見つけたら東大生越え？】漢字間違い探し！,463957
2021-11-16,今日から使える語呂合わせクイズ【ワンツーツーワン】,594779
2021-11-13,【東大生検証】小学校の教科書の隅々まで全て覚えてるのか？,631459
2021-11-12,「めっちゃ漢字に似てるアルファベット」でクイズしてみた,493200
2021-11-10,未完成.mp4,605495
2021-11-08,パズルの達人ならどんなパズルでも書き込まずに解ける説【頭フル回転】,546726
2021-11-05,「本当かも」と思わせたい！デマを◯×クイズで信じさせてみた,578820
2021-11-03,【正解は宇宙から】宇宙飛行士と生通信！宇宙クイズ【JAXAコラボ】,340220
2021-11-01,【超縛りプレイ】しりとりにどんどん制約つけたら続けられなくなるのか？【制約しりとり】,547264
2021-10-30,クイズ王だけ誤答させたい！【ざまぁ】,820384
2021-10-28,東大卒がガチで競馬予想したら当たる？【3万円→□万円】,1309661
2021-10-26,【瞬殺】クイズ王がなぞなぞを５文字で正解します,766127
2021-10-24,帰国子女向け東大入試の問題がヤバすぎるのでガチで考えてみた,828654
2021-10-22,【別室で対決】早押しクイズ【編集上では同時】,567210
2021-10-19,｢あるなしクイズ｣じゃなくて｢あるあるクイズ｣やってみた,837963
2021-10-17,【矛盾】英語しか出ない漢字テスト作ってみた,917636
2021-10-15,【全問正解が遠すぎる】｢そうはならんやろ探し」選手権開催！,989154
2021-10-13,【文字列崩壊】同じ文字がそろうと消える問題文,737474
2021-10-09,一流プロデューサーならいきなり問題を渡されても正しく読めるはず,1022701
2021-10-08,難しすぎる小学生の宿題、東大生がガチで挑戦するも悪戦苦闘,1201463
2021-10-06,【モッコモコ】太すぎる文字でクイズ出してみた,589118
2021-10-04,【必勝法がある】1番早く押せば1点【そんなわけない】,698592
2021-10-02,【YOKARO-MONコラボ】頭いい音楽作ってみた【GENIUS】,364161
2021-09-29,【超高速謎解き】あなたはついてこれる？【0.5倍速推奨】,630193
2021-09-28,数学オリンピックとかいう東大生でも解けない問題出す大会,1720226
2021-09-24,クイズ王は問題が読まれている間、何を考えているのか？,501836
2021-09-23,【それはダメだろw】無理矢理すぎる合体漢字がやばすぎワロタ,819621
2021-09-21,画数が多いと書くのが面倒だから全部一画で読めるように適応してくれ,605612
2021-09-18,鶴崎名人VS漢字王　難読漢字早押しゲーム対決！【ゲーム作った】,463402
2021-09-17,【たぶん無理】写真だけで日本の国立公園全部当てないと帰れないクイズ,603824
2021-09-16,東大生が集まって知識の無駄遣い！おバカな討論の結果は？【名前だけランキング 後編】,511873
2021-09-14,【検証】東大卒が見る夢、めっちゃ賢い説,444456
2021-09-12,【逆】ボタンを押したところから聞こえるようになるクイズ,1206592
2021-09-09,クイズ王が解けないように問題文にイタズラしました,629771
2021-09-07,東大卒2名による絶対に負けたいクイズ大会,851273
2021-09-03,材料から料理を当てるクイズがだんだんカオスになっていった結果…,1136685
2021-09-02,【ｻﾞｻﾞｯ】どんなに聞き取りづらくてもクイズ王ならわかるよね？,585974
2021-08-31,最強コンビ 佐藤健×ふくらPが、新作「アンサーB O X」に本気で挑戦！＜後半戦＞,409033
2021-08-30,【スッキリ】新しい漢字クイズ、解けたらめっちゃ気持ちいい…！,704022
2021-08-28,12時間クイズ2021 第6部,339757
2021-08-28,12時間クイズ2021 第5部,245453
2021-08-28,12時間クイズ2021 第4部,206510
2021-08-27,12時間クイズ2021 第3部,188973
2021-08-27,12時間クイズ2021 第2部,274262
2021-08-27,12時間クイズ2021 第1部,411074
2021-08-27,【スゴすぎ】普通に読んだら不正解！「じゃない方」の読み方せよ！,815547
2021-08-23,【夏休みの宿題】東大博士が本気でアイデア貯金箱を工作した【インテリ自由工作】,1119300
2021-08-20,【紛失】文字が足りなくてもできる？並べ替えクイズ【アナグラムマイナス】,670177
2021-08-17,東大生なら1時間で自由研究終わって遊び放題説,1245797
2021-08-15,もしも現代のサービスが戦国時代にあったらクイズ,612746
2021-08-13,画像クイズ、パネル1枚で正解できる？【アタック25分の1】,614761
2021-08-11,伸びてない企画の第2弾、逆に面白い説,840845
2021-08-08,【閲覧推奨】東大生にしか意味が分からないランキングまとめ,1488868
2021-08-07,【学んでみろ】ためにならないQuizKnock,853081
2021-08-04,【東大インチキ】本を読まずに読書感想文書いてみた,754661
2021-08-03,たった10日の勉強で国家資格受験してみた,1956403
2021-08-01,知らなくても正解できる！推理力でクイズ王を倒せ！,1043851
2021-07-30,QuizKnock × 50M 自由形 | RECORD CRUSHERS,731697
2021-07-28,【東大検証】ウミガメのスープ、質問ナシでも考え込めば正解できる説,1442620
2021-07-26,【混乱】0秒だとテンパりすぎてクイズ続行不可能ww,881858
2021-07-23,魚クイズしたらさかなクンが強すぎて笑うしかなかったwww,2200045
2021-07-21,クイズ大会を一緒に見よう！これが学生クイズ最高峰「abc」だ！,693622
2021-07-20,【頭脳の無駄遣い】漢字で万華鏡作ってみた,690659
2021-07-19,RECORD CRUSHERS: 15s Spot QuizKnock ver.,389524
2021-07-17,誤答したらQuizKnock卒業！ジャスコ林､最後のガチ挑戦【2年間ありがとう】,802811
2021-07-15,サマーウォーズの暗号、ガチで解けるかやってみた【RSA暗号】,7962347
2021-07-14,脳を鍛えれば触っただけで色わかる説,1000296
2021-07-12,【すごすぎ】画数から漢字をひらめくクイズ出したら異次元バトルになった,1003006
2021-07-10,これはクイズではない【早押しはする】,872969
2021-07-09,【アレだよ】思い出せないアレ、東大クイズ王なら全部答えてくれるんじゃね？,1371043
2021-07-07,だんだん難しくなるクイズ、あなたはどこまで付いて来られる？,952661
2021-07-06,【東大検証】10分で読んだ本の内容、どれだけ覚えてるのか？,714692
2021-07-03,【格付け】1on1でQuizKnockの最強決めようや,651504
2021-07-02,【報告】ジャスコ林、QuizKnockを卒業します,1121581
2021-07-02,漢検一級でも出題されない漢字、東大卒に読ませてみた,863538
2021-06-30,東大生が集まっておバカな討論【名前だけランキング】,865592
2021-06-28,【大混乱】クイズに賞金つけただけなのに,660657
2021-06-25,模範解答より詳しく答えてこそクイズ王でしょ！,688724
2021-06-24,【さすがに無茶】クイズ王にアラビア語で問題出してみた【でもがんばる】,2266732
2021-06-22,【押すか】このボタンは7問中3回しか押せません【押さないか】,675867
2021-06-21,【クイズやん】知識が必要すぎる算数で大困惑www,1065812
2021-06-18,クイズ王がタイトルコールだけで正解してきて困る,1217873
2021-06-17,新チャンネル＆5周年企画発表会,273433
2021-06-16,校長先生の話のオチ早分かりクイズ,1171986
2021-06-14,語彙力の高すぎるトークバトル、開幕！【疑心暗鬼】,879681
2021-06-12,東大生ならクイズ中にタイムスリップしても正解できる？,1084159
2021-06-10,【先読み】正解の先の「真の正解」を掴め！,1027134
2021-06-08,【伊沢vs林】前半だけ嘘のクイズで感動の結末に,700310
2021-06-07,バランスゲームもクイズがあれば100倍楽しい!!!!!【バンボレオ】,366765
2021-06-04,東大法学部卒が出題！意外と知らない法律クイズ,723124
2021-06-02,【クイズ大好き】クイズに正解するとクイズができるよ！！！,721146
2021-05-31,漢字王山本、漢字を知ったかぶりしてしまうのか？,1202752
2021-05-29,【共通テスト】学校で習ってない科目でも満点取れる説【東大検証】,1061431
2021-05-28,新パズルに鶴崎ふくらが挑戦！あなたの町もあるかも？,477830
2021-05-27,この漢字は何と読む？カタカナ語を漢字に変換してみた【へんなかんじ】,559196
2021-05-25,クイズは長いほうがいい…!,720200
2021-05-24,【文字麻雀】東大生ら4人で漢字ゲーム！この共通点は？,1282575
2021-05-22,3択クイズならぬ-1択クイズ,1085761
2021-05-20,東大発の知識集団QuizKnockが銃を撃ってみた結果,661280
2021-05-17,クイズ王でも早押しボタンが4つあったら混乱する説,893729
2021-05-14,【狂気】選択肢が全部同じクイズ,2241538
2021-05-13,もしもQuizKnockの企画会議が裏切りゲームだったら,815207
2021-05-11,【なにこれ】画像を5つ重ねても東大卒なら分かる説,596943
2021-05-08,目隠ししたパズル王vs普通の東大生、いい勝負説【検証】,596599
2021-05-07,東大生ならざっくりした歌詞でも察せる？【だいたいあってる】,979037
2021-05-04,【コラボ】クイズ王なら同時に6人相手しても勝てるのか？【フォーエイト】,642387
2021-05-02,いろんな東大生に神童エピソード聞いてみた【地元じゃ負け知らず】,1075236
2021-05-01,東大生100人集めてクイズ出してみた,503179
2021-04-30,クイズ王、クイズさえあればホラー怖くない説【VR検証】,445329
2021-04-24,誤変換クイズ！問題文を勘違いしたら大変なことになった,1040483
2021-04-23,【超心理戦】嘘を見抜け！クイズペンタゴン３,1203773
2021-04-21,反射神経日本一決定戦！那須川天心vs伊沢拓司,400071
2021-04-19,東大生でも間違える!? たのしい幼稚園クイズ！,843687
2021-04-16,ふくらPvs東大生連合軍、ガチパズル対決【東大脳！ブロック10】,997061
2021-04-16,新チャンネルプロジェクト、再スタートします,506268
2021-04-15,爆走だ！クイズだ！高学歴8人でガチレース！【実況付き】,2241963
2021-04-14,「東大王新シーズン&早押しを解説！」東大王解説ライブ（4月14日回）,85098
2021-04-14,【告知】QuizKnock監修の新しい書籍が発売されます！！,86341
2021-04-10,【ドッキリ検証】過去に自分が出したクイズ間違えない説,913491
2021-04-09,【え、むずくね】東大流の言葉遊び！五十音で文章作れ,897845
2021-04-07,東大王新シーズン&早押しを解説！東大王解説ライブ,154878
2021-04-07,【コラボ】ジャルジャルのコント見てタイトル当てられる奴０人説,912695
2021-04-05,知らない料理でも東大クイズ王なら推測で作れるのか？,879818
2021-04-02,40秒クイズ大会 #Shorts,497861
2021-03-31,東大生なら目と耳と手と足で別々のことできる説,517616
2021-03-30,東大生ら10人で朝からそれ正解！【#20】,1184314
2021-03-27,東大生ら10人で朝からそれ正解！【#19】,1105789
2021-03-26,【検証】面接官のイジワルな質問に東大生は何と答えるのか？,2708813
2021-03-24,年金について日本一わかりやすく説明しようとしたらこうなった,726948
