投稿日,タイトル,再生数
2021-11-28,セイキン宅のキッチンが汚すぎる。。。,227020
2021-11-12,【ヒカキンVSセイキン】ユニクロ貸し切って奢り合いバトルしたら史上最高額？で破産www,839974
2021-11-07,【HikakinTV1000万人突破記念】ヒカキンへ兄セイキンからのサプライズプレゼント。,1561809
2021-10-30,【超過酷？】ヒカキン&セイキン、山奥でフェラーリ車中泊。【フェラーリ F8トリブート】,1702674
2021-10-22,人生初の家族キャンプ。,562792
2021-10-17,野生の巨大ザリガニの捕獲に成功するザリガニハンターセイキン！！,702182
2021-10-09,セイキンのプライベート,510816
2021-10-02,車内で緊急事態が発生しました。,1004413
2021-09-19,あれから1年。,1248919
2021-09-18,伝説のダンクシュート #Shorts,856278
2021-09-11,セイキン一家で東京の虫&魚探し,959946
2021-09-04,ヒカキン&セイキンの体を張り過ぎた1日に密着［2021夏 Ver.］,1016311
2021-08-30,授業中に寝ている生徒に先生がチョークを投げつけたらまさかの事態に・・・ #Shorts,4937985
2021-08-27,体育館のギャラリーから自分でティッシュ投げてキャッチできるのか。#Shorts,2546105
2021-08-25,HIKAKIN & SEIKIN - FIRE 作曲シーン,1112606
2021-08-22,HIKAKIN & SEIKIN - FIRE メイキング,1294946
2021-08-21,5000個のスーパーボールが頭に直撃 #Shorts,2454257
2021-08-20,今回の炎上について,4151036
2021-08-17,地球グミ口キャッチチャレンジがもはや拷問www #Shorts,1168307
2021-08-15,山奥で一晩中本気でカブトムシ&クワガタ探したらまさかの大量捕獲！！！【ヒカキン&セイキン夏休みスペシャル】,3220475
2021-08-13,【ドッキリ】事務所にいる人全員ヤバイ人だったらデカキンはどうするのかwww,528191
2021-08-12,HIKAKIN & SEIKIN - FIRE［Teaser］,647458
2021-08-12,HIKAKIN & SEIKIN - FIRE［Teaser］#Shorts,294204
2021-08-09,【心霊スポット】深夜に学校のトイレ行ったらヤバイものが映ってしまう。。。#Shorts,733125
2021-08-06,90kg VS 60kg 男子鉄棒決勝！!  #Shorts,653816
2021-08-05,激うまメロンパンを手に入れるまで帰れない東京ドライブ,665087
2021-08-02,誕生日プレゼントもらいました！！！ #Shorts,597133
2021-07-30,【衝撃】ヒカキン宅のバイ菌測定したらとんでもない数値を叩き出すwww,731699
2021-07-27,家にゴキブリが出現！？ #Shorts,1760959
2021-07-22,サーキットで物凄い車が走ってた。。。#Shorts,1422132
2021-07-22,【夏休み】超巨大アスレチック、フェラーリで時速200kmサーキット貸切走行、グランピング、バーベキューで遊び尽くす！【ヒカキン&セイキン】,2927111
2021-07-09,セイキン宅の水槽にまさかのトラブル発生。。。,979955
2021-06-18,キッチンシンクを鏡面磨きしたらピカピカすぎてもはや鏡。,1506090
2021-06-12,【汚れ大噴射】ヒカキン宅の洗面所で最強洗剤使って排水管掃除したら大変なことに。。。【バブルーン】,6046432
2021-06-04,【誕生日】ヒカキンにサプライズで最高級マッサージチェアをプレゼントしてみた。,2389096
2021-06-01,はじめしゃちょーがセイキンの動画をアフレコしたら放送事故www,1113665
2021-05-28,最強洗剤をトイレに入れたら泡だらけに。。。【バブルーン】,1172937
2021-05-23,ヒカキンおじさんからチビキンへの誕生日プレゼントがスゴすぎる。,2293007
2021-05-20,ダメになってしまいました。,951762
2021-05-14,【大噴射】最強洗剤で排水管掃除したら洗面所が泡だらけになりました。【バブルーン】,1792036
2021-05-07,【ディズニー / ピクサー】カーズ専門店の商品全部買ったらとんでもない金額に。。。,1471285
2021-04-30,人生初のキャンピングカー車中泊やったらもはや家www,1351947
2021-04-28,フェラーリに緊急事態発生。。。,1602532
2021-04-23,チビキン3歳の誕生日にディズニーランドとディズニーシーを完全制覇。,808078
