投稿日,タイトル,再生数
2021-11-26,じっけん3#Shorts,32948
2021-11-24,絞り染めTie-Dye,16007
2021-11-22,いってきますただいま,28209
2021-11-20,たべる恐竜図鑑,32896
2021-11-18,じっけん2#Shorts,66888
2021-11-16,じっけん1#Shorts,41361
2021-11-14,しーくん転んでケガした,49254
2021-11-12,しーくんとマック#Shorts,71580
2021-11-10,クリーパーピニャータHD,74374
2021-11-08,びっくらポン#Shorts,86071
2021-11-07,しーくん1歳、離乳食をたべる,130906
2021-11-05,カニ釣り2021,66355
2021-11-03,♫しーくんミューパレをする,117978
2021-11-01,カブトムシの幼虫観察,113145
2021-10-30,ハロウィンかぼちゃピニャータ,120353
2021-10-28,ぶどうジュースを作ったしーくん#Shorts,129630
2021-10-26,水遊びするあいちゃんしーくん,102846
2021-10-24,アルパカ牧場,29215
2021-10-22,クリーパーピニャータ#Shorts,101104
2021-10-20,いってきますただいま#Shorts,200532
2021-10-18,旭山動物園,59229
2021-10-16,登別マリンパークニクス𓇼,25722
2021-10-14,クマ牧場,55152
2021-10-12,アヒルレース,47965
2021-10-10,だんごむし迷路ハウス,42052
2021-10-08,かぼちゃピニャータ割り#Shorts,259563
2021-10-06,寿司レール,159223
2021-10-04,恐竜発掘ケーキ,232258
2021-10-02,だんごむしレース,192540
2021-09-30,スノードームをつくりました！,241786
2021-09-28,恐竜になりきってごはんをたべるしーくん#Shorts,215868
2021-09-26,東京ディズニーランドに行きました！,32369
2021-09-24,顔パックする,85143
2021-09-22,チョコクリームフラペチーノをつくりました！,63978
2021-09-20,大井川鉄道トーマス号に乗りました！,50114
2021-09-18,おばけ屋敷に挑戦！,79950
2021-09-16,光のトンネルでごきげんなしーくん#Shorts,212108
2021-09-14,体操するあいちゃんしーくん#Shorts,256051
2021-09-12,ナガシマスパーランド遊園地であそびました,67844
2021-09-10,しーくん口開けて寝る#Shorts,170797
2021-09-08,ナガシマスパーランドプールであそびました,75359
2021-09-06,昆虫イベントに行きました！,65510
2021-09-04,かつやまディノパーク巨大昆虫冒険ツアー,56296
2021-09-02,かつやまディノパークにいきました！,55291
2021-08-31,あいちゃん歯が抜ける5本目,171651
2021-08-29,恐竜博物館にいきました！,52465
2021-08-27,カブトムシの卵と幼虫観察#Shorts,319044
2021-08-25,こおりのじっけんをしました！,218663
2021-08-23,しーくんとマックでランチ#Shorts,187229
2021-08-21,昼寝がイヤで逃げ回るしーくん#Shorts,252476
2021-08-20,あいちゃんさいおたんじょうびおめでとう！,245270
2021-08-19,あいちゃん宿題そろばんと音読ナリ〜#Shorts,112459
2021-08-17,だんごむしを愛でる#Shorts,185722
2021-08-15,はらぺこあおむしパンケーキをつくりました！,249094
2021-08-13,いってきますただいま,213303
2021-08-11,だんごむし3#Shorts,114568
2021-08-09,東京ディズニーシーにいきました！,73949
2021-08-07,プチプチしーくん#Shorts,160133
2021-08-05,箱入りしーくん#Shorts,376377
2021-08-03,おしりたんていさんといっしょにダンスしました！,124497
2021-08-01,しーくんブロックで宇宙船をつくる#Shorts,702178
2021-07-31,あいちゃん歯が抜ける4本目#Shorts,140431
2021-07-29,しーくん虫刺されのくすりをぬる,72514
2021-07-27,しーくん100㌘にちょうせん！#Shorts,286697
2021-07-25,あいちゃんしーくんの歯を磨く#Shorts,574193
2021-07-24,だんごむし2#Shorts,344598
2021-07-22,おしりたんていにスイートポテトをプレゼント！いっしょにダンスも！？,54697
2021-07-20,きらぷるゼリードーム,165368
2021-07-18,昼寝イヤイヤ2#Shorts,570019
2021-07-16,しーくんクマバチが怖い#Shorts,263227
2021-07-15,キッザニア写真スタジオ#Shorts,214628
2021-07-14,しーくんとマックでランチ#Shorts,512757
2021-07-12,クリーパー入浴剤,223488
2021-07-10,いってきますただいま#Shorts,483534
2021-07-09,だんごむし#Shorts,202811
2021-07-07,はらぺこあおむしグッズ,155335
2021-07-05,キッザニア発明工房で紙ヒコーキ実験,116828
2021-07-04,キッザニアはとバスのガイドさん,116548
2021-07-02,おしりたんていみたいに空を飛ぶ？？「映画おしりたんていスフーレ島のひみつ」,107926
2021-06-30,キッザニアガスメーター点検のお仕事#Shorts,124789
2021-06-28,キッザニア冷凍食品作り,48068
2021-06-27,昼寝イヤイヤ#Shorts,243697
2021-06-25,あいしーマイクラ#Shorts,2039846
2021-06-23,東京ディズニーランドにいきました！,253767
2021-06-21,ミッキールームでお泊りディズニー,257855
2021-06-19,ドキドキフィッシングをつくりました！,252091
2021-06-18,(ﾟﾟ)～おたまじゃくし観察#Shorts,258114
2021-06-17,[°凸°]クリーパー入浴剤#Shorts,163799
2021-06-16,カブトムシが孵化#Shorts,101731
2021-06-15,カブトムシのさなぎを観察#Shorts,298071
2021-06-13,ユニコーンアイスをつくりました！,277706
2021-06-11,イバライドにいきました！,262939
2021-06-09,シルバニアパークにいきました！,197138
2021-06-07,いってきますただいま#Shorts,175524
2021-06-05,潮干狩りとプール遊び,149280
2021-06-03,恐竜レストランでしーくんのバースデーパーティー！,103208
2021-05-31,(ﾟﾟ)～おたまじゃくしすくい(ﾟﾟ)～,203762
2021-05-29,【モンダミンキッズたいそう】クチュクチュパワーでむしばきんをやっつけろ！,253770
2021-05-28,3歳児とたのしむポケモンスナップ╰(^o^)╮_=͟͟͞͞◒,109828
2021-05-26,カーズのケーキでおたんじょうびおめでとう！,559315
2021-05-24,しーくんペットボトルにガッツリ口をつけて飲みたい,264354
2021-05-22,##ニューブロックはやぶさであそびました！,476415
2021-05-21,セガソニック鉄道に乗りました！,147080
2021-05-20,(ﾟﾟ)～おたまじゃくし観察#Shorts,418263
2021-05-19,トミカバケツであそぶしーくん,91813
2021-05-17,ケーキモンスターを作りました！,162789
2021-05-15,ハッピーセットトミカ&シルバニア第2弾,135532
2021-05-13,しーくんカミナリがこわい,111100
2021-05-11,スーパーボールすくいクレーンゲーム,193250
2021-05-09,ハッピーセットトミカ&シルバニア第1弾,195412
2021-05-07,アイスクリームを作りました！,284819
2021-05-05,リニア見学センターに行きました！,99023
2021-05-03,富士急ハイランドトーマスランドに行きました！ThomasLand,109234
2021-05-01,富士サファリパークに行きました！エサやり編,105049
2021-04-29,富士サファリパークに行きました！サファリ編,185668
2021-04-27,あわしまマリンパークに行きました！,138864
2021-04-25,伊豆三津シーパラダイスに行きました！,120195
2021-04-23,キッザニア街時計のパフォーマー,231700
2021-04-21,あいちゃん歯が抜ける３本目#Shorts,611240
2021-04-19,キッザニアサラダショップのお仕事,186283
2021-04-18,ぷしゅぷしゅあいちゃん、ぷしゅぷしゅしーくん#Shorts,108244
2021-04-17,キッザニアガス工事のお仕事,140068
