投稿日,タイトル,再生数
2021-11-20,【自作キーボード！】Feuille64 完成目前！一気に仕上げますライブ！,99437
2021-11-19,【はんだ付けライブ】途中から酒を飲んでしまい集中力低下。おじさんの自作キーボード製作。 / yynmt氏作 Feuille64,119274
2021-11-16,クソやべえ自作キーボードつくります。 / yynmt氏作「Feuille64」,116155
2021-11-12,アップル信者のモーニングルーティン | Morning Routine by Apple Lover,231986
2021-11-05,【最高の環境を作り上げてしまった…】M1 Max MacBook Pro 14インチ メインマシン化計画！,347174
2021-11-03,【禁断の検証！】M1 Maxチップ搭載の新型MacBook Proは、Mac Proに勝てるのか！ / MacBook Pro (2021) vs Mac Pro (2019),284925
2021-11-01,新型M1 Max MacBook Pro 14インチの撮影中に誰か来た・・・,259619
2021-10-30,【世界最速レビュー!?】2022年発売のDJI Micを開封します！,225088
2021-10-27,【長編レビュー】DJI Action 2 を持って、実家に帰ってみた！,316859
2021-10-26,珍しいキーボードをもらったから、10分で曲作ってみるわ。 / Native Instruments KOMPLETE KONTROL S49,205684
2021-10-24,【良すぎたのでシェア】ダイソン掃除機の新機能「レーザー」が恐ろしく便利だった・・・ / dyson v12 detect slim,190554
2021-10-23,【俺は怒ってる！】MacBook Pro の「ハイパワーモード」ってなんだよ！？もう70万払っちゃったんだけど！,301005
2021-10-18,【まじでこれを待ってた…】待望のプロ向け MacBook Pro 発表！生配信でポチります！！！,340579
2021-10-09,【iPhone 13 Pro】お気に入りのアクセサリが見つかったのでご報告！,233111
2021-10-01,【ホントに角栓除去できる？】はじめてウォーターピーリングやってみた！,261882
2021-09-27,【長編レビューーー！！！】iPad mini 6 & iPhone 13 Pro がやってきた！,648415
2021-09-21,【こいつ、かわいすぎる…】M1 iMac 早く開けとけばよかったあああああ！！！,436376
2021-09-18,地球を守るために、iPhoneの「ビニール食い」を卒業します。,270736
2021-09-16,【Apple発表会】新型iPad mini がやっべえ！iPhone 13 Proもほちぃ！うおおぉぉおおおお！！！,608756
2021-09-14,【新料金プラン】povo 2.0 発表！乗り換えるべきなのか考えてみた！,301325
2021-08-28,【大惨事】渡辺直美さんキターーー！いっしょに10分作曲チャレンジしたら、どうしようもねえ曲ができたｗｗｗｗｗ,514084
2021-08-08,【憧れのマイク】ついにNeumann（ノイマン）デビューします。 / U87Ai,183318
2021-08-05,【最大撮影倍率 1.4倍！】あの神マクロレンズがRFマウントで蘇る！ / Canon RF100mm F2.8 L MACRO IS USM,165260
2021-08-04,【最近買ったもの】冷蔵庫とEOS R6を買いました♪,270609
2021-08-01,【初対面】お肌チェック！友利先生、ぼくのお肌ってどうですか？,154358
2021-07-17,【7年間コンテッサに座りつづける男が解説！】オカムラのオフィスチェア 3モデル比較してみた！,318457
2021-05-29,【ついにこの時がやってきた…】Canon EFマウントを卒業します。,264977
2021-05-27,【ついに判明】動画の更新が止まってしまう理由がわかりました。,207176
2021-05-15,【自作キーボードLIVE】ついに仕上げ！完成させるまで配信終わりません！！！,199156
2021-05-14,【自作キーボード】LEDはんだ付け完成！果たしてすべて点灯させることはできるのか！？,138768
2021-05-14,【自作キーボード】黙々とLEDをはんだ付けする瀬戸弘司、ついにゾーンに入る。,90683
2021-05-13,【はんだ付けなめんな！】調子に乗って酒飲みながらはんだ付けしたら大失敗！！！,210534
2021-05-12,【テンションあがるぅううう！】自作MIDIキーボード「クロマトーン ミニ」のパーツを紹介します！,121569
2021-05-08,【一気に紹介！】はんだ付けライブのために、新機材買ったぞぉおおおお！！！,196356
2021-05-06,自作キーボード製作「シーズン2」がスタートします！ / 第0回 クロマトーンってなに？,146156
2021-05-04,俺のPCうるさすぎ！！！自作PCの騒音がひどいので、ファンを交換します！,295482
2021-05-02,アップルの紛失防止タグ「AirTag」がやってきた！さいごにAirTag探しゲームもやってみたよ！,324802
2021-04-30,【速報】カラフルでカワイイ！新型iMac 24インチ争奪戦！！！,356579
2021-04-27,【恐怖】iPhoneユーザーがもっとも恐れる不具合「リンゴループ」事件,705558
2021-04-21,【今度こそ最終回】自作キーボード はんだ付けライブ！最後の仕上げ！,268778
2021-04-21,"【ダイジェスト版】瀬戸弘司のApple発表会 実況ライブ / 新型iMac, iPad Pro, Air Tag",204838
2021-04-20,【発表会ライブ】Appleさん、M1 iMacだけは勘弁してくれ。,266588
2021-04-19,【ついに今夜完成！？】自作キーボード はんだ付けライブ 完結編！！！,336675
2021-04-18,【パリピからの脱出】自作キーボード はんだ付け大修復ライブ！,310163
2021-04-16,【悲報】苦労してはんだ付けした自作キーボード、案の定失敗し、パリピみたいになってしまう。,278882
2021-04-14,【自作キーボード】おじさんのはんだ付けライブ・ふたたび,201507
2021-04-13,【赤すぎワロタｗｗｗ】AKAI MPC LIVE II のシュプリームモデルがめちゃくちゃ赤だった！,190397
